"SKU","Brand","Model","Series","Status"
"CAN-T10-K","Canon","Image Class XMF1538","T10","parsed"
"CAN-T10-K","Canon","LBP1538 Image Runner C1533","T10","parsed"
"CAN-T10-K","Canon","C1538","T10","parsed"
"CAN-T10-C","Canon","Image Class XMF1538","T10","parsed"
"CAN-T10-C","Canon","LBP1538 Image Runner C1533","T10","parsed"
"CAN-T10-C","Canon","C1538","T10","parsed"
"CAN-T10-M","Canon","Image Class XMF1538","T10","parsed"
"CAN-T10-M","Canon","LBP1538 Image Runner C1533","T10","parsed"
"CAN-T10-M","Canon","C1538","T10","parsed"
"CAN-T10-Y","Canon","Image Class XMF1538","T10","parsed"
"CAN-T10-Y","Canon","LBP1538 Image Runner C1533","T10","parsed"
"CAN-T10-Y","Canon","C1538","T10","parsed"
"BRO-TN279XL-K","Brother","HL-L3280CDW","TN 279XL","parsed"
"BRO-TN279XL-K","Brother","DCP-L3520cdw","TN 279XL","parsed"
"BRO-TN279XL-K","Brother","MFC-L3720cdw","TN 279XL","parsed"
"BRO-TN279XL-K","Brother","L8390CDW","TN 279XL","parsed"
"BRO-TN279XL-C","Brother","HL-L3280CDW","TN 279XL","parsed"
"BRO-TN279XL-C","Brother","DCP-L3520cdw","TN 279XL","parsed"
"BRO-TN279XL-C","Brother","MFC-L3720cdw","TN 279XL","parsed"
"BRO-TN279XL-C","Brother","L8390CDW","TN 279XL","parsed"
"BRO-TN279XL-M","Brother","HL-L3280CDW","TN 279XL","parsed"
"BRO-TN279XL-M","Brother","DCP-L3520cdw","TN 279XL","parsed"
"BRO-TN279XL-M","Brother","MFC-L3720cdw","TN 279XL","parsed"
"BRO-TN279XL-M","Brother","L8390CDW","TN 279XL","parsed"
"BRO-TN279XL-Y","Brother","HL-L3280CDW","TN 279XL","parsed"
"BRO-TN279XL-Y","Brother","DCP-L3520cdw","TN 279XL","parsed"
"BRO-TN279XL-Y","Brother","MFC-L3720cdw","TN 279XL","parsed"
"BRO-TN279XL-Y","Brother","L8390CDW","TN 279XL","parsed"
"CAN-064H-K","Canon","MF735cx","064H","parsed"
"CAN-064H-K","Canon","MF832Cdw","064H","parsed"
"CAN-064H-K","Canon","LBP722Cdw","064H","parsed"
"CAN-064H-C","Canon","MF735cx","064H","parsed"
"CAN-064H-C","Canon","MF832Cdw","064H","parsed"
"CAN-064H-C","Canon","LBP722Cdw","064H","parsed"
"CAN-064H-M","Canon","MF735cx","064H","parsed"
"CAN-064H-M","Canon","MF832Cdw","064H","parsed"
"CAN-064H-M","Canon","LBP722Cdw","064H","parsed"
"CAN-064H-Y","Canon","MF735cx","064H","parsed"
"CAN-064H-Y","Canon","MF832Cdw","064H","parsed"
"CAN-064H-Y","Canon","LBP722Cdw","064H","parsed"
"CAN-067H-K","Canon","MF654","067H","parsed"
"CAN-067H-K","Canon","MF651","067H","parsed"
"CAN-067H-K","Canon","MF655cdw","067H","parsed"
"CAN-067H-K","Canon","656cdw","067H","parsed"
"CAN-067H-K","Canon","657cdw","067H","parsed"
"CAN-067H-C","Canon","MF654","067H","parsed"
"CAN-067H-C","Canon","MF651","067H","parsed"
"CAN-067H-C","Canon","MF655cdw","067H","parsed"
"CAN-067H-C","Canon","656cdw","067H","parsed"
"CAN-067H-C","Canon","657cdw","067H","parsed"
"CAN-067H-M","Canon","MF654","067H","parsed"
"CAN-067H-M","Canon","MF651","067H","parsed"
"CAN-067H-M","Canon","MF655cdw","067H","parsed"
"CAN-067H-M","Canon","656cdw","067H","parsed"
"CAN-067H-M","Canon","657cdw","067H","parsed"
"CAN-067H-Y","Canon","MF654","067H","parsed"
"CAN-067H-Y","Canon","MF651","067H","parsed"
"CAN-067H-Y","Canon","MF655cdw","067H","parsed"
"CAN-067H-Y","Canon","656cdw","067H","parsed"
"CAN-067H-Y","Canon","657cdw","067H","parsed"
"CAN-069H-K","Canon","673Cdw","069H","parsed"
"CAN-069H-K","Canon","674Cx","069H","parsed"
"CAN-069H-K","Canon","752Cd","069H","parsed"
"CAN-069H-K","Canon","756Cx","069H","parsed"
"CAN-069H-C","Canon","673Cdw","069H","parsed"
"CAN-069H-C","Canon","674Cx","069H","parsed"
"CAN-069H-C","Canon","752Cd","069H","parsed"
"CAN-069H-C","Canon","756Cx","069H","parsed"
"CAN-069H-M","Canon","673Cdw","069H","parsed"
"CAN-069H-M","Canon","674Cx","069H","parsed"
"CAN-069H-M","Canon","752Cd","069H","parsed"
"CAN-069H-M","Canon","756Cx","069H","parsed"
"CAN-069H-Y","Canon","673Cdw","069H","parsed"
"CAN-069H-Y","Canon","674Cx","069H","parsed"
"CAN-069H-Y","Canon","752Cd","069H","parsed"
"CAN-069H-Y","Canon","756Cx","069H","parsed"
"HP-222A-K","HP","Pro 3288dw","222A","parsed"
"HP-222A-K","HP","3388sdw","222A","parsed"
