name,skus
HP 136 3-Colour,HP-1363-CLR
HP 132 Black,HP-132-K
HP 134 3-Colour,HP-1343-CLR
HP 131 Black,HP-131-K
HP 130 Black,HP-130-K
HP 28 3-Colour,HP-283-CLR
HP 27 Black,HP-27-K
HP 129 Black,HP-129-K
HP 17 3-Colour,HP-173-CLR
HP 23 3-Colour,HP-233-CLR
HP 78 3-Colour,HP-783-CLR
Samsung  M43 Black,SAM-M43-K
Samsung  M40 Black,SAM-M40-K
Lexmark Nr.35 Colour,LEX-NR35-CLR
Lexmark Nr. 34 Black,LEX-NR34-K
Lexmark Nr.37 XL Colour,LEX-NR37XL-CLR
Lexmark Nr.36 XL Black,LEX-NR36XL-K
Lexmark Nr.26 Colour,LEX-NR26-CLR
Lexmark Nr.16 Black,LEX-NR16-K
Lexmark Nr.15 Colour,LEX-NR15-CLR
Lexmark Nr. 14 Black,LEX-NR14-K
Epson T0796 Photo Magenta,EPS-T0796PHOTO-M
Epson T0795 Photo Cyan,EPS-T0795PHOTO-C
Epson T0794 Yellow,EPS-T0794-Y
Epson T0793 Magenta,EPS-T0793-M
Epson T0792 Cyan,EPS-T0792-C
Epson T0791 Black,EPS-T0791-K
Epson T7024 Yellow,EPS-T7024-Y
Epson T7023 Magenta,EPS-T7023-M
Epson T7022 Cyan,EPS-T7022-C
Epson T7021 Black,EPS-T7021-K
Epson T1294 Yellow,EPS-T1294-Y
Epson T1293 Magenta,EPS-T1293-M
Epson T1292 Cyan,EPS-T1292-C
Epson T1291 Black,EPS-T1291-K
Epson T0924 Yellow,EPS-T0924-Y
Epson T0923 Magenta,EPS-T0923-M
Epson T0922 Cyan,EPS-T0922-C
Epson T0921 Black,EPS-T0921-K
