name,sku,brand,models
Generic Brother LC-472 XL,BRO-LC472XL-K/BRO-LC472XL-C/BRO-LC472XL-M/BRO-LC472XL-Y,Brother,MFC-J2340DW/J3540DW/J3940DW
HP 903 XL,HP-903XL-K/HP-903XL-C/HP-903XL-M/HP-903XL-Y,HP,Officejet 6951/Officejet 6954/Officejet 6962/Officejet Pro 6960/Officejet Pro 6961/Officejet Pro 6970/Officejet Pro 6974/Officejet Pro 6975
HP 935 XL,HP-935XL-C/HP-935XL-M/HP-935XL-Y,HP,Officejet 6812 e-AiO/Officejet 6815 e-AiO/Officejet Pro 6230 ePrinter/Officejet Pro 6830/Officejet Pro 6835
HP 933 XL,HP-933XL-C/HP-933XL-M/HP-933XL-Y,HP,Officejet 6700 Premium e/OfficeJet 7612 Wide Format e/OfficeJet 7510 Wide Format/OfficeJet 7110 Wide Format ePrinter/Officejet 6100 e Printer/Officejet 7610 WF e-All In One
HP 655,HP-655-K/HP-655-C/HP-655-M/HP-655-Y,HP,Deskjet Ink Advantage 5525e/Deskjet Ink Advantage 4625e/Deskjet Ink Advantage 4615/Deskjet Ink Advantage 3525e
HP 951 XL,HP-951XL-C/HP-951XL-M/HP-951XL-Y,HP,Officejet Pro 8640e/Officejet Pro 8620e/Officejet Pro 8610e/Officejet Pro 8600/Officejet Pro 8600 Plus/Officejet Pro 8100/Officejet Pro 276dw/Officejet Pro 251dw
HP 178 XL,HP-178XL-K/HP-178XL-C/HP-178XL-M/HP-178XL-Y,HP,Deskjet 3070A/Photosmart 5510/Photosmart 5515/Photosmart 6510/Photosmart 7510/Photosmart B010b/Photosmart B109c/Photosmart B109g/Photosmart B109r/Photosmart B110a/Photosmart B110d/Photosmart B110e/Photosmart B8553/Photosmart C5383/Photosmart C6383/Photosmart D5463/Photosmart Plus B209b/Photosmart Plus B210b/Photosmart Premium C309c/Photosmart Premium C309h/Photosmart Premium C310b/Photosmart Premium C410c
HP 177,HP-177-K/HP-177-C/HP-177-M/HP-177-Y,HP,Photo Smart 8253/C5183/photosmart 3213/photosmart 3313/D7163/D7263/D7363/D7463/C6183/C6283/C7183/C7283/C8183/C8283
HP 920 XL,HP-920XL-K/HP-920XL-C/HP-920XL-M/HP-920XL-Y,HP,Officejet 7500A Wide Format/Officejet 6500A/Officejet 6500/Officejet 7000 Wide Format Printer/Officejet 6500A Plus/Officejet 6001
HP 650 XL,HP-650XL-K/HP-650XL3-CLR,HP,Deskjet Ink Advantage 4645/Deskjet Ink Advantage 4515/Deskjet Ink Advantage 3545/Deskjet Ink Advantage 3515/Deskjet Ink Advantage 2645/Deskjet Ink Advantage 2545/Deskjet Ink Advantage 1515/Deskjet Ink Advantage 1015/Deskjet Ink Advantage 2515
HP 122 XL,HP-122XL-K/HP-122XL3-CLR,HP,DeskJet 1000/DeskJet 2050 A/DeskJet 3000/Envy 4500 E-All-In-One/Envy 5530 E-All-In-One/Envy 5531 E-All-In-One/Envy 5532 E-All-In-One/Envy 5534 E-All-In-One/Envy 5535 E-All-In-One/Envy 5539 E-All-In-One/OfficeJet 2600 Series/OfficeJet 2620/OfficeJet 2622/OfficeJet 2624/OfficeJet 4630/OfficeJet 4632/OfficeJet 4639
HP 121 XL,HP-121XL-K/HP-121XL3-CLR,HP,DeskJet 1000/DeskJet 2050 A/DeskJet 3000/Envy 4500 E-All-In-One/Envy 5530 E-All-In-One/Envy 5531 E-All-In-One/Envy 5532 E-All-In-One/Envy 5534 E-All-In-One/Envy 5535 E-All-In-One/Envy 5539 E-All-In-One/OfficeJet 2600 Series/OfficeJet 2620/OfficeJet 2622/OfficeJet 2624/OfficeJet 4630/OfficeJet 4632/OfficeJet 4639
Canon PGI-1400 XL,CAN-PGI1400XL-K/CAN-PGI1400XL-C/CAN-PGI1400XL-M/CAN-PGI1400XL-Y,Canon,MAXIFY MB2340/MB2040/MB2140/MB2740
Canon PGI-2400 XL,CAN-PGI2400XL-K/CAN-PGI2400XL-C/CAN-PGI2400XL-M/CAN-PGI2400XL-Y,Canon,MAXIFY IB4040/MB5040/MB5340/MB5140/MB4140
Canon CLI-451XL,CAN-CLI451XL-K/CAN-CLI451XL-C/CAN-CLI451XL-M/CAN-CLI451XL-Y,Canon,iP7240/iP8740/iX6840/MG5440/MG5640/MG7140/MG7540/MX924
Canon CLI-426,CAN-CLI426-K/CAN-CLI426-C/CAN-CLI426-M/CAN-CLI426-Y,Canon,iP4840/iP4940/iX6540/MG5140/MG5240/MG5340/MG6140/MG6240/MG8140/MG8240/MX714/MX884/MX894
Generic Brother LC-3719XL,BRO-LC3719XL-K/BRO-LC3719XL-C/BRO-LC3719XL-M/BRO-LC3719XL-Y,Brother,MFC-J3930DW/MFC-J2330DW
Generic Brother LC-77,BRO-LC77-K/BRO-LC77-C/BRO-LC77-M/BRO-LC77-Y,Brother,MFC J6510 DW/MFC J6710 DW/MFC J6910 DW
Generic Brother LC-39,BRO-LC39-K/BRO-LC39-C/BRO-LC39-M/BRO-LC39-Y,Brother,DCPJ125/DCPJ140W/DCPJ315W/DCPJ515W/MFCJ220/MFCJ265W/MFCJ410/MFCJ415W
Generic Brother LC-38/67,BRO-LC3867-K/BRO-LC3867-C/BRO-LC3867-M/BRO-LC3867-Y,Brother,DCP145C/DCP165C/MFC250C/MFC290C
Generic Brother LC-675 XL,BRO-LC675XL-C/BRO-LC675XL-M/BRO-LC675XL-Y,Brother,MFCJ2320/MFCJ2720
Generic Brother LC-565 XL,BRO-LC565XL-C/BRO-LC565XL-M/BRO-LC565XL-Y,Brother,MFCJ2310/MFCJ2510
Generic Brother LC-535 XL,BRO-LC535XL-C/BRO-LC535XL-M/BRO-LC535XL-Y,Brother,DCPJ100/DCPJ105/DCPJ200
GI-490 Yellow (70ml),GI-4-YELLOW70ML,Canon,PIXMA G1400/PIXMA G1410/PIXMA G2400/PIXMA G2410/PIXMA G3400/PIXMA G3410/PIXMA G4400/PIXMA G4410/G1411/G2411/G3411/G4411
GI-490 Magenta (70ml),GI-4-MAGENTA70ML,Canon,PIXMA G1400/PIXMA G1410/PIXMA G2400/PIXMA G2410/PIXMA G3400/PIXMA G3410/PIXMA G4400/PIXMA G4410/G1411/G2411/G3411/G4411
GI-490 Cyan (70ml),GI-4-CYAN70ML,Canon,PIXMA G1400/PIXMA G1410/PIXMA G2400/PIXMA G2410/PIXMA G3400/PIXMA G3410/PIXMA G4400/PIXMA G4410/G1411/G2411/G3411/G4411
GI-490 Black (135ml),GI-4-BLACK135ML,Canon,PIXMA G1400/PIXMA G1410/PIXMA G2400/PIXMA G2410/PIXMA G3400/PIXMA G3410/PIXMA G4400/PIXMA G4410/G1411/G2411/G3411/G4411
Generic Brother LC-569 XL B,BRO-LC569XLB,Brother,MFCJ2310/MFCJ2510/MFCJ3520/MFCJ3720
Canon PGI 470 XL Black,CAN-PGI470XL-K,Canon,MG 5740/MG 6840/MG 7740
HP 934 XL BLACK,HP-934XL-K,HP,Officejet 6812 e-AiO/Officejet 6815 e-AiO/Officejet Pro 6230 ePrinter/Officejet Pro 6830/Officejet Pro 6835
HP 932 XL Black,HP-932XL-K,HP,Officejet 6700 Premium e/OfficeJet 7612 Wide Format e/OfficeJet 7510 Wide Format/OfficeJet 7110 Wide Format ePrinter/Officejet 6100 e Printer/Officejet 7610 WF
HP 950 XL Black,HP-950XL-K,HP,Officejet Pro 8640e/Officejet Pro 8620e/Officejet Pro 8610e/Officejet Pro 8600/Officejet Pro 8600 Plus/Officejet Pro 8100/Officejet Pro 276dw/Officejet Pro 251dw
HP 177 Magenta Light,HP-177MAGENTALIGHT,HP,Photo Smart 8253/C5183/photosmart 3213/photosmart 3313/D7163/D7263/D7363/D7463/C6183/C6283/C7183/C7283/C8183/C8283
HP 177 Cyan Light,HP-177CYANLIGHT,HP,Photo Smart 8253/C5183/photosmart 3213/photosmart 3313/D7163/D7263/D7363/D7463/C6183/C6283/C7183/C7283/C8183/C8283
HP 901 XL Black,HP-901XL-K,HP,Officejet J4660/Officejet J4580/Officejet 4500/J4580/J4660/J4680
HP 901 3-Colour,HP-9013-CLR,HP,Officejet J4660/Officejet J4580/Officejet 4500/J4580/J4660/J4680
HP 141 XL 3-Colour,HP-141XL3-CLR,HP,Deskjet D4263/Deskjet D4363/Officejet J5783/Officejet J6413/Photosmart C4273/Photosmart C4283/Photosmart C4343/Photosmart C4383/Photosmart C4473/Photosmart C4483/Photosmart C4583/Photosmart C5283/Photosmart D5363/Officejet J5780
HP 140 XL Black,HP-140XL-K,HP,Deskjet D4263/Deskjet D4363/Officejet J5783/Officejet J6413/Photosmart C4273/Photosmart C4283/Photosmart C4343/Photosmart C4383/Photosmart C4473/Photosmart C4483/Photosmart C4583/Photosmart C5283/Photosmart D5363/Officejet J5780
HP 57 3-Colour,HP-573-CLR,HP,Deskjet 450ci/450cbi/450wbt/Deskjet 5145/Deskjet 5150/Deskjet 5151/Deskjet 5550/Deskjet 5552/Deskjet 5650/Deskjet 5652/Deskjet 5655/Deskjet 5850/Deskjet 9650/Deskjet 9670/Deskjet 9680/9680gp/Deskjet F4140/F4172/F4180/F4190/Digital Copier 410/Officejet 4105/Officejet 4110/Officejet 4212/Officejet 4215/Officejet 4219/Officejet 4252/Officejet 4255/Officejet 6110/PSC/Officejet 1110/Officejet 1209/Officejet 1210/Officejet 1210v/1210xi
HP 56 Black,HP-56-K,HP,Deskjet 450ci/450cbi/450wbt/Deskjet 5145/Deskjet 5150/Deskjet 5151/Deskjet 5550/Deskjet 5552/Deskjet 5650/Deskjet 5652/Deskjet 5655/Deskjet 5850/Deskjet 9650/Deskjet 9670/Deskjet 9680/9680gp/Deskjet F4140/F4172/F4180/F4190/Digital Copier 410/Officejet 4105/Officejet 4110/Officejet 4212/Officejet 4215/Officejet 4219/Officejet 4252/Officejet 4255/Officejet 6110/PSC/Officejet 1110/Officejet 1209/Officejet 1210/Officejet 1210v/1210xi
HP 22 XL 3-Colour,HP-22XL3-CLR,HP,PSC 1410/Officejet 5610/Deskjet D1530/Deskjet D3940/Officejet J5520/Officejet J3680/Officejet 4355/Deskjet F4180/Deskjet F380/Deskjet F2180/Deskjet D2460/Deskjet D2361/Deskjet D1330/D1360/D2330/D2360/C9351CE
HP 21 XL Black,HP-21XL-K,HP,PSC 1410/Officejet 5610/Deskjet D1530/Deskjet D3940/Officejet J5520/Officejet J3680/Officejet 4355/Deskjet F4180/Deskjet F380/Deskjet F2180/Deskjet D2460/Deskjet D2361/Deskjet D1330/D1360/D2330/D2360/C9351CE
Canon PGI-450XL Black,CAN-PGI450XL-K,Canon,iP7240/iP8740/iX6840/MG5440/MG5640/MG7140/MG7540/MX924
Canon PGI-425 Black,CAN-PGI425-K,Canon,iP4840/iP4940/iX6540/MG5140/MG5240/MG5340/MG6140/MG6240/MG8140/MG8240/MX714/MX884/MX894
Generic Brother LC-679 XL Black,BRO-LC679XL-K,Brother,MFCJ2320/MFCJ2720
Generic Brother LC-539 XL Black,BRO-LC539XL-K,Brother,DCP-J100/J105/J200
Epson T6641 Black,EPS-T6641-K,Epson,EcoTank L100/EcoTank L110/EcoTank L120/EcoTank L130/EcoTank L200/EcoTank L210/EcoTank L220/EcoTank L300/EcoTank L310/EcoTank L350/EcoTank L355/EcoTank L360/EcoTank L365/EcoTank L382/EcoTank L385/EcoTank L386/EcoTank L455/EcoTank L550/EcoTank L555/EcoTank L565/EcoTank L1300/EcoTank ET-2500/EcoTank ET-2550/EcoTank ET-2600/EcoTank ET-2650/EcoTank ET-4500/EcoTank ET-4550/EcoTank ET-14000/EcoTank ET-16500
Epson T6642 Cyan,EPS-T6642-C,Epson,EcoTank L100/EcoTank L110/EcoTank L120/EcoTank L130/EcoTank L200/EcoTank L210/EcoTank L220/EcoTank L300/EcoTank L310/EcoTank L350/EcoTank L355/EcoTank L360/EcoTank L365/EcoTank L382/EcoTank L385/EcoTank L386/EcoTank L455/EcoTank L550/EcoTank L555/EcoTank L565/EcoTank L1300/EcoTank ET-2500/EcoTank ET-2550/EcoTank ET-2600/EcoTank ET-2650/EcoTank ET-4500/EcoTank ET-4550/EcoTank ET-14000/EcoTank ET-16500
Epson T6643 Magenta,EPS-T6643-M,Epson,EcoTank L100/EcoTank L110/EcoTank L120/EcoTank L130/EcoTank L200/EcoTank L210/EcoTank L220/EcoTank L300/EcoTank L310/EcoTank L350/EcoTank L355/EcoTank L360/EcoTank L365/EcoTank L382/EcoTank L385/EcoTank L386/EcoTank L455/EcoTank L550/EcoTank L555/EcoTank L565/EcoTank L1300/EcoTank ET-2500/EcoTank ET-2550/EcoTank ET-2600/EcoTank ET-2650/EcoTank ET-4500/EcoTank ET-4550/EcoTank ET-14000/EcoTank ET-16500
Epson T6644 Yellow,EPS-T6644-Y,Epson,EcoTank L100/EcoTank L110/EcoTank L120/EcoTank L130/EcoTank L200/EcoTank L210/EcoTank L220/EcoTank L300/EcoTank L310/EcoTank L350/EcoTank L355/EcoTank L360/EcoTank L365/EcoTank L382/EcoTank L385/EcoTank L386/EcoTank L455/EcoTank L550/EcoTank L555/EcoTank L565/EcoTank L1300/EcoTank ET-2500/EcoTank ET-2550/EcoTank ET-2600/EcoTank ET-2650/EcoTank ET-4500/EcoTank ET-4550/EcoTank ET-14000/EcoTank ET-16500
