"Product Name","SKU(s)","Printer Brand","Compatible Models (parsed)","Client: Correct? (Y/N)","Client: Notes"
"Canon T10","CAN-T10-K / CAN-T10-C / CAN-T10-M / CAN-T10-Y","Canon","Image Class XMF1538 / LBP1538 Image Runner C1533 / C1538","",""
"Brother TN 279XL","BRO-TN279XL-K / BRO-TN279XL-C / BRO-TN279XL-M / BRO-TN279XL-Y","Brother","HL-L3280CDW / DCP-L3520cdw / MFC-L3720cdw / L8390CDW","",""
"Canon 064H","CAN-064H-K / CAN-064H-C / CAN-064H-M / CAN-064H-Y","Canon","MF735cx / MF832Cdw / LBP722Cdw","",""
"Canon 067H","CAN-067H-K / CAN-067H-C / CAN-067H-M / CAN-067H-Y","Canon","MF654 / MF651 / MF655cdw / 656cdw / 657cdw","",""
"Canon 069H","CAN-069H-K / CAN-069H-C / CAN-069H-M / CAN-069H-Y","Canon","673Cdw / 674Cx / 752Cd / 756Cx","",""
"HP 222A","HP-222A-K / HP-222A-C / HP-222A-M / HP-222A-Y","HP","Pro 3288dw / 3388sdw / 3388fdn / 3388fdw","",""
"Pantum CTL 2000H","PAN-CTL2000H-K / PAN-CTL2000H-C / PAN-CTL2000H-M / PAN-CTL2000H-Y","Pantum","CP1100 / CM1100","",""
"Brother TN 279","BRO-TN279-K / BRO-TN279-C / BRO-TN279-M / BRO-TN279-Y","Brother","HL-L3280CDW / DCP-L3520cdw / MFC-L3720cdw","",""
"HP 655A","HP-655A-K / HP-655A-C / HP-655A-M / HP-655A-Y","HP","Laserjet Enterprise MMG652dn / MMG653 / MMG681","",""
"HP 230A","HP-230A-K / HP-230A-C / HP-230A-M / HP-230A-Y","HP","Pro MFP 4203dn / MFP 4303dn","",""
"HP 216A","HP-216A-K / HP-216A-C / HP-216A-M / HP-216A-Y","HP","Pro MFP M182 / 183 / M155","",""
"GI-46","GI-4-K / GI-4-C / GI-4-M / GI-4-Y","Canon","MAXIFY GX7040 / 6040","",""
"HP 728","HP-728-K / HP-728-C / HP-728-M / HP-728-Y","HP","T730 & T830","",""
"HP 653A","HP-653A-C / HP-653A-M / HP-653A-Y","HP","Enterprise M651 / M680","",""
"HP 212A","HP-212A-K / HP-212A-C / HP-212A-M / HP-212A-Y","HP","Enterprise M555dn / M554 / M578","",""
"HP 305 XL","HP-305XL-K / HP-305XL-CLR","HP","HP","",""
"Canon 067","CAN-067-K / CAN-067-C / CAN-067-M / CAN-067-Y","Canon","MF654 / MF651 / MF655cdw / 656cdw / 657cdw","",""
"Epson 103","EPS-103-K / EPS-103-C / EPS-103-M / EPS-103-Y","Epson","Eco Tank L1110 / 3150 / 3110","",""
"Epson 101","EPS-101-K / EPS-101-C / EPS-101-M / EPS-101-Y","Epson","Eco Tank L6160 / 6190 / 4260 / 6260 / 14150","",""
"Canon 069","CAN-069-K / CAN-069-C / CAN-069-M / CAN-069-Y","Canon","LBP674 / MF751 / MF753CDW","",""
"Canon 055","CAN-055-K / CAN-055-C / CAN-055-M / CAN-055-Y","Canon","MF742 / 744 / 746","",""
"Ricoh SP C430","RIC-SPC430-K / RIC-SPC430-C / RIC-SPC430-M / RIC-SPC430-Y","Ricoh","SP C430 / SP C431","",""
"Ricoh MP C2003","RIC-MPC2003-K / RIC-MPC2003-C / RIC-MPC2003-M / RIC-MPC2003-Y","Ricoh","MP C2003 / MP C2011 / MP C2503","",""
"Ricoh MP C2503","RIC-MPC2503-K / RIC-MPC2503-C / RIC-MPC2503-M / RIC-MPC2503-Y","Ricoh","MP C2003 / MP C2011 / MP C2503","",""
"Brother TN 469","BRO-TN469-K / BRO-TN469-C / BRO-TN469-M / BRO-TN469-Y","Brother","Brother HL-8360CDW / MFC-8690CDW / MFC-9570CDW","",""
"Kyocera TK 5270","KYO-TK5270-K / KYO-TK5270-C / KYO-TK5270-M / KYO-TK5270-Y","Kyocera","Ecosys M6230 / M6630 / P6230","",""
"Pantum CTL 1100","PAN-CTL1100-K / PAN-CTL1100-C / PAN-CTL1100-M / PAN-CTL1100-Y","Pantum","CP1100 / CM1100","",""
"Canon EXV 49","CAN-EXV49-K / CAN-EXV49-C / CAN-EXV49-M / CAN-EXV49-Y","Canon","C3325 / C3320 / C3330 / C3520 / C3525","",""
"Ricoh MP C2011","RIC-MPC2011-K / RIC-MPC2011-C / RIC-MPC2011-M / RIC-MPC2011-Y","Ricoh","MP C2003 / MP C2011 / MP C2503","",""
"Ricoh MP 306","RIC-MP306-K / RIC-MP306-C / RIC-MP306-M / RIC-MP306-Y","Ricoh","MP C306 / MP C406 / MP C307 / MP C407","",""
"Konica Minolta TN 321","KM-TN321-K / KM-TN321-C / KM-TN321-M / KM-TN321-Y","Konica Minolta","Bizhub C224 / C224e / C284 / C284e / C364 / C364e / C227 / C287","",""
"Konica Minolta TN 512","KM-TN512-K / KM-TN512-C / KM-TN512-M / KM-TN512-Y","Konica Minolta","454 E / 554 E / C 258 / C 308 / C 368 / C 454 / bizhub C454 / C454e / C554 / C554e","",""
"Konica Minolta TN 328","KM-TN328-K / KM-TN328-C / KM-TN328-M / KM-TN328-Y","Konica Minolta","Bizhub C224 / C284 / C364 / C364E / C224E / C284E / MF222 / MF282 / MF362","",""
"HP 415A","HP-415A-K / HP-415A-C / HP-415A-M / HP-415A-Y","HP","HP Colour LaserJet Enterprise M455dn / HP Colour LaserJet Pro M454dn / HP Colour LaserJet Pro M454dw","",""
"HP 117A","HP-117A-K / HP-117A-C / HP-117A-M / HP-117A-Y","HP","HP Color Laser MFP 179fnw / 178nw / HP Color LAzer 150a150w","",""
"Brother TN 277","BRO-TN277-K / BRO-TN277-C / BRO-TN277-M / BRO-TN277-Y","Brother","MFC-L3750CDW / DCP-L3551CDW / HL-3210CW","",""
"Kyocera TK 5240","KYO-TK5240-K / KYO-TK5240-C / KYO-TK5240-M / KYO-TK5240-Y","Kyocera","Ecosys M5526cdw / P5026cdw / Ecosys M5526cdn / P5026cdn","",""
"Canon 054","CAN-054-K / CAN-054-C / CAN-054-M / CAN-054-Y","Canon","MF645CX","",""
"HP 953 XL","HP-953XL-K / HP-953XL-C / HP-953XL-M / HP-953XL-Y","HP","HP Officejet 8200 / 8700 Series","",""
"HP 652 XL","HP-652XL-K / HP-652XL-CLR","HP","HP Ink Advantage 3635 / 3835 / 4535","",""
"HP 123 XL","HP-123XL-K / HP-123XL-CLR","HP","HP 2130 / 2131","",""
"Samsung CLT-506L","SAM-CLT506L-K / SAM-CLT506L-C / SAM-CLT506L-M / SAM-CLT506L-Y","Samsung","CLP 680 / CLX 6260","",""
